Código do país,Nome do país,Nome do bloco
13,Afeganistão,Ásia (Exclusive Oriente Médio)
15,"Aland, Ilhas",Europa
15,"Aland, Ilhas",União Europeia - UE
17,Albânia,Europa
20,"Alboran-Perejil, Ilhas",Europa
23,Alemanha,Europa
23,Alemanha,União Europeia - UE
25,Alemanha Oriental,Europa
31,Burkina Faso,África
37,Andorra,Europa
40,Angola,África
41,Anguilla,América Central e Caribe
43,Antígua e Barbuda,América Central e Caribe
47,Antilhas Holandesas,América Central e Caribe
53,Arábia Saudita,Oriente Médio
59,Argélia,África
63,Argentina,América do Sul
63,Argentina,Mercado Comum do Sul - Mercosul
64,Armênia,Ásia (Exclusive Oriente Médio)
65,Aruba,América Central e Caribe
69,Austrália,Oceania
72,Áustria,Europa
72,Áustria,União Europeia - UE
73,Azerbaijão,Ásia (Exclusive Oriente Médio)
77,Bahamas,América Central e Caribe
80,Barein,Oriente Médio
81,Bangladesh,Ásia (Exclusive Oriente Médio)
83,Barbados,América Central e Caribe
85,Belarus,Europa
87,Bélgica,Europa
87,Bélgica,União Europeia - UE
88,Belize,América Central e Caribe
90,Bermudas,América Central e Caribe
93,Mianmar,Ásia (Exclusive Oriente Médio)
93,Mianmar,Associação de Nações do Sudeste Asiático - ASEAN
97,Bolívia,América do Sul
98,Bósnia-Herzegovina,Europa
99,"Bonaire, Saint Eustatius e Saba",América Central e Caribe
100,Internação na Zona Franca de Manaus,América do Sul
100,Internação na Zona Franca de Manaus,Mercado Comum do Sul - Mercosul
101,Botsuana,África
108,Brunei,Ásia (Exclusive Oriente Médio)
108,Brunei,Associação de Nações do Sudeste Asiático - ASEAN
111,Bulgária,Europa
111,Bulgária,União Europeia - UE
115,Burundi,África
119,Butão,Ásia (Exclusive Oriente Médio)
127,Cabo Verde,África
137,"Cayman, Ilhas",América Central e Caribe
141,Camboja,Ásia (Exclusive Oriente Médio)
141,Camboja,Associação de Nações do Sudeste Asiático - ASEAN
145,Camarões,África
149,Canadá,América do Norte
150,"Canal, Ilhas do (Guernsey)",Europa
150,"Canal, Ilhas do (Guernsey)",União Europeia - UE
151,"Canárias, Ilhas",Europa
151,"Canárias, Ilhas",União Europeia - UE
152,"Canal, Ilhas do (Jersey)",Europa
153,Cazaquistão,Ásia (Exclusive Oriente Médio)
154,Catar,Oriente Médio
158,Chile,América do Sul
160,China,Ásia (Exclusive Oriente Médio)
161,Taiwan (Formosa),Ásia (Exclusive Oriente Médio)
163,Chipre,Europa
163,Chipre,União Europeia - UE
165,"Cocos (Keeling), Ilhas",Oceania
169,Colômbia,América do Sul
173,Comores,África
177,Congo,África
183,"Cook, Ilhas",Oceania
187,Coreia do Norte,Ásia (Exclusive Oriente Médio)
190,Coreia do Sul,Ásia (Exclusive Oriente Médio)
193,Costa do Marfim,África
195,Croácia,Europa
195,Croácia,União Europeia - UE
196,Costa Rica,América Central e Caribe
198,Coveite (Kuweit),Oriente Médio
199,Cuba,América Central e Caribe
200,Curaçao,América Central e Caribe
229,Benin,África
232,Dinamarca,Europa
232,Dinamarca,União Europeia - UE
235,Dominica,América Central e Caribe
237,Dubai,Oriente Médio
239,Equador,América do Sul
240,Egito,África
243,Eritreia,África
244,Emirados Árabes Unidos,Oriente Médio
245,Espanha,Europa
245,Espanha,União Europeia - UE
246,Eslovênia,Europa
246,Eslovênia,União Europeia - UE
247,Eslováquia,Europa
247,Eslováquia,União Europeia - UE
249,Estados Unidos,América do Norte
251,Estônia,Europa
251,Estônia,União Europeia - UE
253,Etiópia,África
255,Falkland (Malvinas),América do Sul
259,"Faroe, Ilhas",Europa
267,Filipinas,Ásia (Exclusive Oriente Médio)
267,Filipinas,Associação de Nações do Sudeste Asiático - ASEAN
271,Finlândia,Europa
271,Finlândia,União Europeia - UE
275,França,Europa
275,França,União Europeia - UE
281,Gabão,África
285,Gâmbia,África
289,Gana,África
291,Geórgia,Ásia (Exclusive Oriente Médio)
293,Gibraltar,Europa
297,Granada,América Central e Caribe
301,Grécia,Europa
301,Grécia,União Europeia - UE
305,Groenlândia,Europa
309,Guadalupe,América Central e Caribe
313,Guam,Oceania
317,Guatemala,América Central e Caribe
321,Guernsey,Europa
321,Guernsey,União Europeia - UE
325,Guiana Francesa,América do Sul
329,Guiné,África
331,Guiné Equatorial,África
334,Guiné-Bissau,África
337,Guiana,América do Sul
341,Haiti,América Central e Caribe
345,Honduras,América Central e Caribe
351,Hong Kong,Ásia (Exclusive Oriente Médio)
355,Hungria,Europa
355,Hungria,União Europeia - UE
357,Iêmen,Oriente Médio
358,Iêmen Democrático,Oriente Médio
359,Ilha de Man,Europa
359,Ilha de Man,União Europeia - UE
361,Índia,Ásia (Exclusive Oriente Médio)
365,Indonésia,Ásia (Exclusive Oriente Médio)
365,Indonésia,Associação de Nações do Sudeste Asiático - ASEAN
367,Inglaterra,Europa
367,Inglaterra,União Europeia - UE
369,Iraque,Oriente Médio
372,Irã,Oriente Médio
375,Irlanda,Europa
375,Irlanda,União Europeia - UE
379,Islândia,Europa
383,Israel,Oriente Médio
386,Itália,Europa
386,Itália,União Europeia - UE
388,Iugoslávia,Europa
391,Jamaica,América Central e Caribe
393,Jersey,Europa
393,Jersey,União Europeia - UE
396,"Johnston, Ilhas",Oceania
399,Japão,Ásia (Exclusive Oriente Médio)
403,Jordânia,Oriente Médio
411,Kiribati,Oceania
420,Laos,Ásia (Exclusive Oriente Médio)
420,Laos,Associação de Nações do Sudeste Asiático - ASEAN
423,"Lebuan, Ilhas",Ásia (Exclusive Oriente Médio)
426,Lesoto,África
427,Letônia,Europa
427,Letônia,União Europeia - UE
431,Líbano,Oriente Médio
434,Libéria,África
438,Líbia,África
440,Liechtenstein,Europa
442,Lituânia,Europa
442,Lituânia,União Europeia - UE
445,Luxemburgo,Europa
445,Luxemburgo,União Europeia - UE
447,Macau,Ásia (Exclusive Oriente Médio)
449,Macedônia,Europa
450,Madagascar,África
452,"Madeira, Ilha da",Europa
452,"Madeira, Ilha da",União Europeia - UE
455,Malásia,Ásia (Exclusive Oriente Médio)
455,Malásia,Associação de Nações do Sudeste Asiático - ASEAN
458,Malavi,África
461,Maldivas,Ásia (Exclusive Oriente Médio)
464,Mali,África
467,Malta,Europa
467,Malta,União Europeia - UE
472,"Marianas do Norte, Ilhas",Oceania
474,Marrocos,África
476,"Marshall, Ilhas",Oceania
477,Martinica,América Central e Caribe
485,Maurício,África
488,Mauritânia,África
489,Mayotte,África
490,"Midway, Ilhas",Oceania
493,México,América do Norte
494,Moldávia,Europa
495,Mônaco,Europa
497,Mongólia,Ásia (Exclusive Oriente Médio)
498,Montenegro,Europa
499,Micronésia,Oceania
501,Montserrat,América Central e Caribe
505,Moçambique,África
507,Namíbia,África
508,Nauru,Oceania
511,"Christmas (Navidad), Ilha",Oceania
517,Nepal,Ásia (Exclusive Oriente Médio)
521,Nicarágua,América Central e Caribe
525,Níger,África
528,Nigéria,África
531,Niue,Oceania
535,"Norfolk, Ilha",Oceania
538,Noruega,Europa
542,Nova Caledônia,Oceania
545,Papua Nova Guiné,Oceania
548,Nova Zelândia,Oceania
551,Vanuatu,Oceania
556,Omã,Oriente Médio
563,"Pacífico, Ilhas do (Administração dos EUA)",Oceania
566,"Pacífico, Ilhas do (EUA)",Oceania
569,"Pacífico, Ilhas do (Território Fideicomisso EUA)",Oceania
573,Países Baixos (Holanda),Europa
573,Países Baixos (Holanda),União Europeia - UE
575,Palau,Oceania
576,Paquistão,Ásia (Exclusive Oriente Médio)
578,Palestina,Oriente Médio
580,Panamá,América Central e Caribe
583,"Papua, Território de",Oceania
586,Paraguai,América do Sul
586,Paraguai,Mercado Comum do Sul - Mercosul
589,Peru,América do Sul
593,Pitcairn,Oceania
599,Polinésia Francesa,Oceania
603,Polônia,Europa
603,Polônia,União Europeia - UE
607,Portugal,Europa
607,Portugal,União Europeia - UE
611,Porto Rico,América Central e Caribe
623,Quênia,África
625,Quirguistão,Ásia (Exclusive Oriente Médio)
628,Reino Unido,Europa
640,República Centro-Africana,África
647,República Dominicana,América Central e Caribe
660,Reunião,África
665,Zimbábue,África
670,Romênia,Europa
670,Romênia,União Europeia - UE
675,Ruanda,África
676,Rússia,Europa
677,"Salomão, Ilhas",Oceania
678,Saint Kitts e Nevis,América Central e Caribe
685,Saara Ocidental,África
687,El Salvador,América Central e Caribe
690,Samoa,Oceania
691,Samoa Americana,Oceania
693,São Bartolomeu,América Central e Caribe
695,São Cristóvão e Névis,América Central e Caribe
697,San Marino,Europa
698,"São Martinho, Ilha de (parte francesa)",América Central e Caribe
699,Sint Maarten,América Central e Caribe
700,São Pedro e Miquelon,América Central e Caribe
705,São Vicente e Granadinas,América Central e Caribe
710,Santa Helena,África
715,Santa Lúcia,América Central e Caribe
720,São Tomé e Príncipe,África
728,Senegal,África
731,Seicheles,África
735,Serra Leoa,África
737,Sérvia,Europa
741,Singapura,Ásia (Exclusive Oriente Médio)
741,Singapura,Associação de Nações do Sudeste Asiático - ASEAN
744,Síria,Oriente Médio
748,Somália,África
750,Sri Lanka,Ásia (Exclusive Oriente Médio)
754,Suazilândia,África
756,África do Sul,África
759,Sudão,África
760,Sudão do Sul,África
764,Suécia,Europa
764,Suécia,União Europeia - UE
767,Suíça,Europa
770,Suriname,América Central e Caribe
772,Tadjiquistão,Ásia (Exclusive Oriente Médio)
776,Tailândia,Ásia (Exclusive Oriente Médio)
776,Tailândia,Associação de Nações do Sudeste Asiático - ASEAN
780,Tanzânia,África
781,Terras Austrais Francesas,Europa
781,Terras Austrais Francesas,União Europeia - UE
782,Território Britânico do Oceano Índico,África
783,Djibuti,África
788,Chade,África
790,Tchecoslováquia,Europa
791,"Tcheca, República",Europa
791,"Tcheca, República",União Europeia - UE
795,Timor Leste,Ásia (Exclusive Oriente Médio)
800,Togo,África
805,Toquelau,Oceania
810,Tonga,Oceania
815,Trinidad e Tobago,América Central e Caribe
820,Tunísia,África
823,"Turcas e Caicos, Ilhas",América Central e Caribe
824,Turcomenistão,Ásia (Exclusive Oriente Médio)
827,Turquia,Europa
828,Tuvalu,Oceania
831,Ucrânia,Europa
833,Uganda,África
840,União das Repúblicas Socialistas Soviéticas,Europa
845,Uruguai,América do Sul
845,Uruguai,Mercado Comum do Sul - Mercosul
847,Uzbequistão,Ásia (Exclusive Oriente Médio)
848,Vaticano,Europa
850,Venezuela,América do Sul
858,Vietnã,Ásia (Exclusive Oriente Médio)
858,Vietnã,Associação de Nações do Sudeste Asiático - ASEAN
863,"Virgens, Ilhas (Britânicas)",América Central e Caribe
866,"Virgens, Ilhas (Americanas)",América Central e Caribe
870,Fiji,Oceania
873,"Wake, Ilha",Oceania
875,"Wallis e Futuna, Ilhas",Oceania
888,"Congo, República Democrática",África
890,Zâmbia,África
895,Zona do Canal do Panamá,América Central e Caribe
